ÁöÁ¡,ÀÏ½Ã,Æò±Õ Ç³¼Ó(m/s),Æò±Õ±â¾Ð(hPa),Æò±Õ »ó´ë½Àµµ(%),Æò±Õ ±â¿Â(¡ÆC)
22105,2013-01-01,8.9,1017.6,56,2.5
22105,2013-01-02,12.1,1023.5,55,-.9
22105,2013-01-03,8.2,1030,59,-2.5
22105,2013-01-04,3.8,1028.3,55,-.1
22105,2013-01-05,5.7,1021,49,3
22105,2013-01-06,3.9,1022,52,3.2
22105,2013-01-07,4.1,1021,47,3.9
22105,2013-01-08,6,1021.3,50,3.5
22105,2013-01-09,8.5,1021.3,51,.4
22105,2013-01-10,7,1025.7,54,-.3
22105,2013-01-11,3,1027.5,46,2.3
22105,2013-01-12,6.1,1022,47,6.6
22105,2013-01-13,4.5,1023.5,56,5.5
22105,2013-01-14,10,1017.6,64,5.1
22105,2013-01-15,5.8,1023.9,68,3.4
22105,2013-01-16,7.1,1020.4,57,4.3
22105,2013-01-17,9.8,1025.4,71,1.1
22105,2013-01-18,5.3,1025.9,52,3.4
22105,2013-01-19,5.3,1026.1,54,3.5
22105,2013-01-20,3.8,1032.4,60,5.9
22105,2013-01-21,7.9,1023.4,77,6.3
22105,2013-01-22,8.7,1021.1,71,5.4
22105,2013-01-23,4.8,1018.5,65,4.8
22105,2013-01-24,9,1010.8,54,5.3
22105,2013-01-25,14.1,1014.4,50,-2.1
22105,2013-01-26,8.9,1016.8,60,-2.3
22105,2013-01-27,7.3,1020.2,61,-.5
22105,2013-01-28,4.2,1023.6,50,2.5
22105,2013-01-29,3,1025.6,53,6.9
22105,2013-01-30,3.5,1030.2,69,8.3
22105,2013-01-31,6.5,1030.3,72,9.9
22105,2013-02-01,10,1017.9,86,10.7
22105,2013-02-02,5.2,1021,68,7.1
22105,2013-02-03,4.8,1024,62,4.2
22105,2013-02-04,7.9,1016.7,68,6.7
22105,2013-02-05,6.5,1022.2,69,5.4
22105,2013-02-06,6.6,1014.2,73,5.5
22105,2013-02-07,12.2,1016.9,59,-1.6
22105,2013-02-08,7.4,1027,68,-2.5
22105,2013-02-09,3.6,1023.9,45,1.3
22105,2013-02-10,7,1022.3,49,2.2
22105,2013-02-11,6.9,1028.8,74,.3
22105,2013-02-12,7.7,1022.8,64,4.4
22105,2013-02-13,6.3,1024.6,52,3.2
22105,2013-02-14,3.4,1023.3,43,7
